AÑO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2024,3761,Envigado,27144,100.58,98.45,63.47,94.93,90.0,67.4,106.47,93.59,105.59,111.48,104.57,,,3.93,3.03,2.32,6.18,2.85,89.01,96.97,94.04,82.07,90.53,7.07,0.0,3.64,11.76,6.61,8.77,1.38,5.21,15.26,4.71
2024,3762,Itagüí,39509,88.58,88.26,68.93,86.03,76.18,60.18,97.1,85.73,95.74,101.4,97.22,,,4.58,5.33,3.69,6.31,2.78,88.56,94.67,92.61,81.97,89.79,6.86,0.0,3.69,11.71,7.43,7.59,2.32,5.59,12.63,3.95
2024,3763,Turbo,33435,99.29,99.27,60.72,87.11,88.44,63.54,117.75,96.33,105.12,130.63,139.15,,,4.47,2.31,3.22,6.81,3.61,90.07,97.65,92.25,84.52,93.19,5.46,0.04,4.53,8.67,3.2,8.36,1.65,8.66,11.08,4.01
2024,3764,Atlántico (ETC),137224,85.97,85.57,57.67,82.41,71.6,49.55,92.11,83.94,97.96,92.49,80.18,,,2.65,3.75,2.5,3.04,1.58,90.03,96.06,90.8,86.31,93.94,7.32,0.19,6.7,10.65,4.48,8.05,3.18,9.05,9.51,3.49
2024,3765,Soledad,136539,93.18,92.93,67.96,89.59,75.11,60.13,104.23,98.62,105.15,96.94,119.36,,,2.69,4.07,2.96,2.46,1.37,93.02,95.23,93.84,90.54,95.68,4.29,0.7,3.2,7.0,2.95,5.78,7.17,5.51,7.05,2.18
2024,3766,"Bogotá, D.C. (ETC)",1132915,91.02,90.6,58.32,85.03,84.68,65.32,98.63,70.77,96.02,105.6,106.07,,,2.49,2.85,2.37,2.77,2.0,90.6,96.82,92.98,85.76,92.37,6.92,0.33,4.65,11.48,5.63,8.16,1.83,7.49,11.98,3.75
2024,3767,Bolívar (ETC),232667,90.26,90.23,51.4,86.61,73.32,44.6,105.53,96.85,109.19,106.23,98.93,,,3.4,4.83,2.81,3.93,3.25,91.09,94.39,92.16,88.31,92.52,5.51,0.78,5.03,7.76,4.22,9.47,8.21,10.01,10.94,3.56
2024,3768,Magangué,31730,82.72,82.69,51.98,78.43,70.21,42.34,91.47,89.43,95.99,94.55,74.78,,,3.94,6.59,3.18,4.87,2.43,89.7,93.1,92.04,85.41,91.15,6.36,0.31,4.79,9.72,6.41,8.94,6.54,8.99,11.06,4.01
2024,3769,Boyacá (ETC),155796,84.06,84.03,61.93,80.48,78.82,55.48,91.06,76.23,90.22,98.96,84.32,,,2.37,2.73,1.73,3.09,2.24,91.77,97.08,94.86,86.89,92.94,5.86,0.18,3.41,10.03,4.82,7.18,1.68,5.6,11.56,3.21
2024,3770,Tunja,32210,99.07,98.93,75.54,101.15,86.68,56.56,107.91,94.62,111.9,111.31,98.6,,,2.82,3.53,2.03,3.82,2.11,89.34,96.47,93.14,83.13,92.63,7.84,0.0,4.83,13.05,5.26,9.04,2.65,6.35,13.98,5.83
2024,3771,Duitama,22440,95.25,95.18,73.2,94.12,85.4,67.19,105.79,87.06,103.5,111.15,108.0,,,2.22,3.4,2.03,2.71,1.22,91.47,96.48,93.13,87.65,94.44,6.31,0.12,4.83,9.64,4.34,7.2,0.97,6.1,10.74,3.92
2024,3772,Sogamoso,22794,109.05,108.91,78.29,102.73,100.65,72.82,122.46,101.97,115.96,134.19,123.08,,,1.99,2.39,1.41,2.69,1.67,91.23,97.16,94.61,85.65,93.38,6.78,0.44,3.98,11.66,4.95,7.08,1.77,5.51,11.22,3.49
